Mix-ID,Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Fly Ash Type,Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Type of Slag,Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sustainable Filler | Type of Filler,Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Fiber | Tensile Strength (MPa),"Mix Constitutents | Fiber | Nominal Young’s modulus, Gpa",Mix Constitutents | Synergetic Fiber | Type of Fiber,Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,Mix Constitutents | Synergetic Fiber | Length (mm),Mix Constitutents | Synergetic Fiber | Diameter (mm),Mix Constitutents | Synergetic Fiber | Tensile Strength (MPa),"Mix Constitutents | Synergetic Fiber | Nominal Young’s modulus, Gpa",Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C),Curing Regime | Humidity (%),Curing Regime | Pressure (MPa),Workability | Testing Standard,Workability | Slump (mm),Workability | Slump Flow (mm),Mechanical Properties | Compressive Strength (Mpa) | Specimen,Mechanical Properties | Compressive Strength (Mpa) | Testing Standard,Mechanical Properties | Compressive Strength (Mpa) | 1-day,Mechanical Properties | Compressive Strength (Mpa) | 3-Day,Mechanical Properties | Compressive Strength (Mpa) | 7-Day,Mechanical Properties | Compressive Strength (Mpa) | 14-Day,Mechanical Properties | Compressive Strength (Mpa) | 21 days,Mechanical Properties | Compressive Strength (Mpa) | 28-Day,Mechanical Properties | Compressive Strength (Mpa) | 56-Day,Mechanical Properties | Compressive Strength (Mpa) | 90-Day,Mechanical Properties | Elastic Modulus | Testing Standard,Mechanical Properties | Elastic Modulus | Elastic Modulus (Gpa),Mechanical Properties | Tensile Strength Parameters | Testing Standards,Mechanical Properties | Tensile Strength Parameters | Split Tensile Strength (Mpa),Mechanical Properties | Tensile Strength Parameters | first-cracking strength (MPa),Mechanical Properties | Tensile Strength Parameters | Direct Tensile Strength (Mpa),Mechanical Properties | Tensile Strength Parameters | Peak tensile strain (%),Mechanical Properties | Tensile Strength Parameters | Tensile Elastic Modulus (GPa),Mechanical Properties | Tensile Strength Parameters | Strain capacity (%),Mechanical Properties | Flexural Strength Parameters | Specimens,Mechanical Properties | Flexural Strength Parameters | Testing Standard,Mechanical Properties | Flexural Strength Parameters | LOP (Mpa),Mechanical Properties | Flexural Strength Parameters | MOR (MPa),Mechanical Properties | Flexural Strength Parameters | Peak Strength (MPa),Mechanical Properties | Flexural Strength Parameters | Residual Strength (f600) (MPa),Mechanical Properties | Flexural Strength Parameters | Residual Strength (f150) (MPa),Mechanical Properties | Flexural Strength Parameters | Toughness (J),Durability Properities | Air Content/Air Void/ Porosity | Testing Standards,Durability Properities | Air Content/Air Void/ Porosity | Air Content %,Durability Properities | Air Content/Air Void/ Porosity | Air Void %,Durability Properities | Air Content/Air Void/ Porosity | Porosity,Durability Properities | Water absorption | Testing Standards,Durability Properities | Water absorption | Water absorption (%),Durability Properities | Shrinkage (µϵ) | Testing Standards,Durability Properities | Shrinkage (µϵ) | 28-day Shrinkage (µstrain),Durability Properities | Shrinkage (µϵ) | 56-day Shrinkage (µstrain),Durability Properities | Freezing and Thawing | Testing Standards,Durability Properities | Freezing and Thawing | Cycles,Durability Properities | Rapid Chloride Permeability Test | Testing Standards,Durability Properities | Rapid Chloride Permeability Test | Total Charge Passed (Coulombs),Durability Properities | Surface Resistivity | Testing Standards,Durability Properities | Surface Resistivity | Surface Resistivity (kΩ-mm),Research Paper Details | Country of Origin,Research Paper Details | Reference details/Data sources,Research Paper Details | Year of Publish,Research Paper Details | Research paper reference in dataset
S10-F10,839.0,Type I/II low-alkali portland cement,,104.0,104.0,Class-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,919.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,56.5,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",120.0,380.0,100 x 100 x 100 ,BS1881,,,115,,,135.0,156.5,,,,,,,,,,,76×102×406,ASTM C1609,,18.65,19.55,18.55,10.85,67.0,,,,,,,ASTM C157,270.0,371.0,ASTM C666,105.0,ASTM C1202,165.0,AASHTO T 358,386.0,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data
S10-F5-N5,839.0,Type I/II low-alkali portland cement,,104.0,52.0,Class-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,52.0,Pumicite,925.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,59.33,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.0,370.0,100 x 100 x 100 ,BS1881,,,104.5,,,132.0,156.5,,,,,,,,,,,76×102×406,ASTM C1609,,20.05,21.25,20.35,11.2,70.0,,,,,,,ASTM C157,242.0,317.0,ASTM C666,106.0,ASTM C1202,142.0,AASHTO T 358,424.0,,,,
S10-F2.5-N7.5,839.0,Type I/II low-alkali portland cement,,104.0,26.0,Class-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,78.0,Pumicite,931.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,59.33,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",100.0,370.0,100 x 100 x 100 ,BS1881,,,102.5,,,122.5,155.5,,,,,,,,,,,76×102×406,ASTM C1609,,19.25,20.8,19.75,11.05,70.0,,,,,,,ASTM C157,223.0,290.0,ASTM C666,106.0,ASTM C1202,136.0,AASHTO T 358,463.0,,,,
S10-N10,839.0,Type I/II low-alkali portland cement,,104.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,104.0,Pumicite,931.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,62.15,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",100.0,370.0,100 x 100 x 100 ,BS1881,,,100.5,,,116.0,154.5,,,,,,,,,,,76×102×406,ASTM C1609,,18.75,20.0,18.7,10.15,67.0,,,,,,,,,,,,,,,,,,,
S10-F5-M5,839.0,Type I/II low-alkali portland cement,,104.0,52.0,Class-F,0.0,0.0,0.0,0.0,52.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,913.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",130.0,380.0,100 x 100 x 100 ,BS1881,,,108.5,,,134.0,151.5,,,,,,,,,,,76×102×406,ASTM C1609,,19.5,20.9,20.05,10.25,68.0,,,,,,,ASTM C157,231.0,286.0,ASTM C666,106.0,ASTM C1202,135.0,AASHTO T 358,437.0,,,,
S10-F2.5-M7.5,839.0,Type I/II low-alkali portland cement,,104.0,26.0,Class-F,0.0,0.0,0.0,0.0,78.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,921.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.0,370.0,100 x 100 x 100 ,BS1881,,,108.5,,,131.5,152.0,,,,,,,,,,,76×102×406,ASTM C1609,,19.2,20.5,19.6,9.95,67.0,,,,,,,ASTM C157,190.0,242.0,ASTM C666,107.0,ASTM C1202,124.0,AASHTO T 358,520.0,,,,
S10-M10,839.0,Type I/II low-alkali portland cement,,104.0,0.0,,0.0,0.0,0.0,0.0,104.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,922.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,67.8,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",110.0,370.0,100 x 100 x 100 ,BS1881,,,107,,,130.5,152.5,,,,,,,,,,,76×102×406,ASTM C1609,,18.85,20.4,19.5,6.7,63.0,,,,,,,ASTM C157,198.0,229.0,ASTM C666,109.0,ASTM C1202,119.0,AASHTO T 358,603.0,,,,
S10-F8-G2,839.0,Type I/II low-alkali portland cement,,104.0,83.0,Class-F,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,0.0,0.0,0.0,0.0,0.0,,920.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,59.33,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",120.0,380.0,100 x 100 x 100 ,BS1881,,,112.5,,,134.5,156.5,,,,,,,,,,,76×102×406,ASTM C1609,,18.6,19.5,18.45,10.7,67.0,,,,,,,ASTM C157,293.0,377.0,ASTM C666,105.0,ASTM C1202,162.0,AASHTO T 358,395.0,,,,
S10-F6-G4,839.0,Type I/II low-alkali portland cement,,104.0,62.0,Class-F,0.0,0.0,0.0,0.0,0.0,42.0,0.0,,0.0,0.0,0.0,0.0,0.0,,921.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,62.15,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",110.0,370.0,100 x 100 x 100 ,BS1881,,,110.5,,,132.5,155.5,,,,,,,,,,,76×102×406,ASTM C1609,,18.5,19.3,17.95,10.25,66.0,,,,,,,ASTM C157,312.0,406.0,ASTM C666,106.0,ASTM C1202,155.0,AASHTO T 358,412.0,,,,
S10-N5-M5,839.0,Type I/II low-alkali portland cement,,104.0,0.0,,0.0,0.0,0.0,0.0,52.0,0.0,0.0,,0.0,0.0,0.0,0.0,52.0,Pumicite,926.0,,,Straight Steel Fiber ,119.0,13.0,0.2,1900.0,,,,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.0,370.0,100 x 100 x 100 ,BS1881,,,102.5,,,123.0,153.0,,,,,,,,,,,76×102×406,ASTM C1609,,20.65,22.25,21.8,11.7,75.0,,,,,,,ASTM C157,185.0,215.0,ASTM C666,109.0,ASTM C1202,122.0,AASHTO T 358,458.0,,,,
